Instance_Name_Alias,Instance_Name,Instance_Memory_GiB,Number_vCPUs,Instance_Storage_Type_and_Capacity,Network_Performance,On_Demand_hourly_price,Linux_Reserved_Cost_1_Year_Hourly,Linux_Spot_Minimum_Cost_Hourly
M6I 12xlarge,m6i.12xlarge,192.0,48,EBS only,18.75 Gigabit,2.304,1.5241,0.9253
IS4GEN Quadruple Extra Large,is4gen.4xlarge,96.0,16,15000 GB (2 * 7500 GB NVMe SSD),25 Gigabit,2.3052,1.5722,0.7437
C7G 16xlarge,c7g.16xlarge,128.0,64,EBS only,30 Gigabit,2.32,1.5288,0.9607
C7G Metal,c7g.metal,128.0,64,EBS only,30 Gigabit,2.32,1.5288,1.0319
R5N Eight Extra Large,r5n.8xlarge,256.0,32,EBS only,25 Gigabit,2.384,1.502,0.9822
R5B Eight Extra Large,r5b.8xlarge,256.0,32,EBS only,10 Gigabit,2.384,1.5019,1.4273
R6G 12xlarge,r6g.12xlarge,384.0,48,EBS only,20 Gigabit,2.4192,1.5241,0.9416
R6ID Eight Extra Large,r6id.8xlarge,256.0,32,1900 GB NVMe SSD,12.5 Gigabit,2.4192,1.5204,0.9398
M7I 12xlarge,m7i.12xlarge,192.0,48,EBS only,18.75 Gigabit,2.4192,1.6003,0.9623
C6ID 12xlarge,c6id.12xlarge,96.0,48,2850 GB (2 * 1425 GB NVMe SSD),18.75 Gigabit,2.4192,1.5246,0.956
R7A Eight Extra Large,r7a.8xlarge,256.0,32,EBS only,12.5 Gigabit,2.4344,1.6104,0.9375
G5 Graphics and Machine Learning GPU Eight Extra Large,g5.8xlarge,128.0,32,900 GB NVMe SSD,25 Gigabit,2.448,1.5422,1.0507
C6A 16xlarge,c6a.16xlarge,128.0,64,EBS only,25 Gigabit,2.448,1.6194,1.084
C6GD Metal,c6gd.metal,128.0,64,3800 GB (2 * 1900 GB NVMe SSD),25 Gigabit,2.4576,1.5483,0.9893
C6GD 16xlarge,c6gd.16xlarge,128.0,64,3800 GB (2 * 1900 GB NVMe SSD),25 Gigabit,2.4576,1.5483,0.9727
C7A 12xlarge,c7a.12xlarge,96.0,48,EBS only,18.75 Gigabit,2.4634,1.6295,0.9995
M6G Metal,m6g.metal,256.0,64,EBS only,25 Gigabit,2.464,1.5456,1.1651
M6G 16xlarge,m6g.16xlarge,256.0,64,EBS only,25 Gigabit,2.464,1.5456,0.9818
C5A 16xlarge,c5a.16xlarge,128.0,64,EBS only,20 Gigabit,2.464,1.552,1.2122
I4G Eight Extra Large,i4g.8xlarge,256.0,32,7500 GB (2 * 3750 GB NVMe SSD),18.75 Gigabit,2.471,1.6036,0.8382
M5AD 12xlarge,m5ad.12xlarge,192.0,48,1800 GB (2 * 900 GB NVMe SSD),10 Gigabit,2.472,1.557,1.1503
I3 High I/O Eight Extra Large,i3.8xlarge,244.0,32,7600 GB (4 * 1900 GB NVMe SSD),10 Gigabit,2.496,1.714,1.0235
M6IDN Eight Extra Large,m6idn.8xlarge,128.0,32,1900 GB NVMe SSD,50 Gigabit,2.5459,1.6039,1.0188
M7GD 12xlarge,m7gd.12xlarge,192.0,48,2850 GB (2 * 1425 GB NVMe SSD),22.5 Gigabit,2.5628,1.6146,1.099
R7G 12xlarge,r7g.12xlarge,384.0,48,EBS only,22.5 Gigabit,2.5704,1.7003,1.0193
G2 Eight Extra Large,g2.8xlarge,60.0,32,240 GB (2 * 120 GB SSD),High,2.6,0.0,0.0
M7G 16xlarge,m7g.16xlarge,256.0,64,EBS only,30 Gigabit,2.6112,1.7273,1.115
M7G Metal,m7g.metal,256.0,64,EBS only,30 Gigabit,2.6112,1.7273,1.0508
R3 High-Memory Eight Extra Large,r3.8xlarge,244.0,32,640 GB (2 * 320 GB SSD),10 Gigabit,2.66,1.672,1.0159
R5DN Eight Extra Large,r5dn.8xlarge,256.0,32,1200 GB (2 * 600 GB NVMe SSD),25 Gigabit,2.672,1.683,1.6922
X2GD Eight Extra Large,x2gd.8xlarge,512.0,32,1900 GB NVMe SSD,12 Gigabit,2.672,1.6466,1.158
M5 General Purpose 12xlarge,m5d.12xlarge,192.0,48,1800 GB (2 * 900 GB NVMe SSD),12 Gigabit,2.712,1.709,1.0858
I3EN 6xlarge,i3en.6xlarge,192.0,24,15000 GB (2 * 7500 GB NVMe SSD),25 Gigabit,2.712,1.847,0.9449
R5A 12xlarge,r5a.12xlarge,384.0,48,EBS only,10 Gigabit,2.712,1.709,1.2008
C6I 16xlarge,c6i.16xlarge,128.0,64,EBS only,25 Gigabit,2.72,1.7993,1.1786
R6A 12xlarge,r6a.12xlarge,384.0,48,EBS only,18.75 Gigabit,2.7216,1.8003,1.0916
C6IN 12xlarge,c6in.12xlarge,96.0,48,EBS only,75 Gigabit,2.7216,1.7146,1.2359
G5G Metal,g5g.metal,128.0,64,EBS only,25 Gigabit,2.744,1.7287,1.1716
G5G 16xlarge,g5g.16xlarge,128.0,64,EBS only,25 Gigabit,2.744,1.7287,1.2142
I4I Eight Extra Large,i4i.8xlarge,256.0,32,7500 GB (2 * 3750 GB NVMe SSD),18.75 Gigabit,2.746,1.782,1.1296
M5A 16xlarge,m5a.16xlarge,256.0,64,EBS only,12 Gigabit,2.752,1.734,1.1025
C5AD 16xlarge,c5ad.16xlarge,128.0,64,2400 GB (2 * 1200 GB NVMe SSD),20 Gigabit,2.752,1.734,1.0535
D2 Quadruple Extra Large,d2.4xlarge,122.0,16,24576 GB (12 * 2048 GB HDD),High,2.76,1.608,0.978
R6GD 12xlarge,r6gd.12xlarge,384.0,48,2850 GB (2 * 1425 GB NVMe SSD),20 Gigabit,2.7648,1.7418,1.0785
M6A 16xlarge,m6a.16xlarge,256.0,64,EBS only,25 Gigabit,2.7648,1.8289,1.1714
C6GN 16xlarge,c6gn.16xlarge,128.0,64,EBS only,100 Gigabit,2.7648,1.745,1.0802
M7A 12xlarge,m7a.12xlarge,192.0,48,EBS only,18.75 Gigabit,2.7821,1.8403,1.0992
R6IN Eight Extra Large,r6in.8xlarge,256.0,32,EBS only,50 Gigabit,2.7893,1.7572,1.3095
M6ID 12xlarge,m6id.12xlarge,192.0,48,2850 GB (2 * 1425 GB NVMe SSD),18.75 Gigabit,2.8476,1.794,1.12
C7I 16xlarge,c7i.16xlarge,128.0,64,EBS only,25 Gigabit,2.856,1.8892,1.1935
M5N 12xlarge,m5n.12xlarge,192.0,48,EBS only,50 Gigabit,2.856,1.799,1.3595
M6GD 16xlarge,m6gd.16xlarge,256.0,64,3800 GB (2 * 1900 GB NVMe SSD),25 Gigabit,2.8928,1.8225,1.228
M6GD Metal,m6gd.metal,256.0,64,3800 GB (2 * 1900 GB NVMe SSD),25 Gigabit,2.8928,1.8225,1.2073
C7GD 16xlarge,c7gd.16xlarge,128.0,64,3800 GB (2 * 1900 GB NVMe SSD),30 Gigabit,2.903,1.8295,1.1619
IM4GN Eight Extra Large,im4gn.8xlarge,128.0,32,15000 GB (2 * 7500 GB NVMe SSD),50 Gigabit,2.9103,1.8665,1.0694
R7IZ Eight Extra Large,r7iz.8xlarge,256.0,32,EBS only,12.5 Gigabit,2.976,1.8749,1.3883
C7GN 12xlarge,c7gn.12xlarge,96.0,48,EBS only,150 Gigabit,2.9952,1.887,1.1556
R5 12xlarge,r5.12xlarge,384.0,48,EBS only,12 Gigabit,3.024,1.905,1.2827
R6I 12xlarge,r6i.12xlarge,384.0,48,EBS only,18.75 Gigabit,3.024,2.0004,1.2556
C5 High-CPU 18xlarge,c5.18xlarge,144.0,72,EBS only,25 Gigabit,3.06,1.928,1.2318
P3 High Performance GPU Double Extra Large,p3.2xlarge,61.0,8,EBS only,Up to 10 Gigabit,3.06,2.088,1.4278
M6I 16xlarge,m6i.16xlarge,256.0,64,EBS only,25 Gigabit,3.072,2.0321,1.3017
M5 General Purpose 16xlarge,m5.16xlarge,256.0,64,EBS only,20 Gigabit,3.072,1.935,1.227
R6IDN Eight Extra Large,r6idn.8xlarge,256.0,32,1900 GB NVMe SSD,50 Gigabit,3.1262,1.9695,1.4764
R5AD 12xlarge,r5ad.12xlarge,384.0,48,1800 GB (2 * 900 GB NVMe SSD),10 Gigabit,3.144,1.981,1.1675
D3EN 6xlarge,d3en.6xlarge,96.0,24,167760 GB (12 * 13980 GB NVMe HDD),40 Gigabit,3.154,1.987,1.2296
R7I 12xlarge,r7i.12xlarge,384.0,48,EBS only,18.75 Gigabit,3.1752,2.1004,0.8631
M4 General Purpose 16xlarge,m4.16xlarge,256.0,64,EBS only,25 Gigabit,3.2,1.9824,1.2559
C6ID 16xlarge,c6id.16xlarge,128.0,64,3800 GB (2 * 1900 GB NVMe SSD),25 Gigabit,3.2256,2.0328,1.2687
M7I 16xlarge,m7i.16xlarge,256.0,64,EBS only,25 Gigabit,3.2256,2.1337,1.3026
R6G Metal,r6g.metal,512.0,64,EBS only,25 Gigabit,3.2256,2.0321,1.2973
R6G 16xlarge,r6g.16xlarge,512.0,64,EBS only,25 Gigabit,3.2256,2.0321,1.2943
M5DN 12xlarge,m5dn.12xlarge,192.0,48,1800 GB (2 * 900 GB NVMe SSD),50 Gigabit,3.264,2.056,1.384
R7GD 12xlarge,r7gd.12xlarge,384.0,48,2850 GB (2 * 1425 GB NVMe SSD),22.5 Gigabit,3.2659,2.0525,1.3193
C7A 16xlarge,c7a.16xlarge,128.0,64,EBS only,25 Gigabit,3.2845,2.1727,1.2166
M5AD 16xlarge,m5ad.16xlarge,256.0,64,2400 GB (4 * 600 GB NVMe SSD),12 Gigabit,3.296,2.076,1.2649
F1 Quadruple Extra Large,f1.4xlarge,244.0,16,940 GB NVMe SSD,Up to 10 Gigabit,3.3,2.231,1.1445
X2IEDN Quadruple Extra Large,x2iedn.4xlarge,512.0,16,475 GB NVMe SSD,Up to 25 Gigabit,3.3345,2.0517,1.2878
X1E Quadruple Extra Large,x1e.4xlarge,488.0,16,480 GB SSD,Up to 10 Gigabit,3.336,2.056,1.1545
X2IEZN Quadruple Extra Large,x2iezn.4xlarge,512.0,16,EBS only,Up to 25 Gigabit,3.336,2.0538,1.4541
M6IN 12xlarge,m6in.12xlarge,192.0,48,EBS only,75 Gigabit,3.3415,2.1052,1.4547
I2 Quadruple Extra Large,i2.4xlarge,122.0,16,3200 GB (4 * 800 GB SSD),High,3.41,1.696,1.1716
M7GD 16xlarge,m7gd.16xlarge,256.0,64,3800 GB (2 * 1900 GB NVMe SSD),30 Gigabit,3.4171,2.1528,1.4665
R7G Metal,r7g.metal,512.0,64,EBS only,30 Gigabit,3.4272,2.2671,1.43
R7G 16xlarge,r7g.16xlarge,512.0,64,EBS only,30 Gigabit,3.4272,2.2671,1.3374
C5 High-CPU 18xlarge,c5d.18xlarge,144.0,72,1800 GB (2 * 900 GB NVMe SSD),25 Gigabit,3.456,2.177,1.3825
R5D 12xlarge,r5d.12xlarge,384.0,48,1800 GB (2 * 900 GB NVMe SSD),12 Gigabit,3.456,2.177,1.454
G4AD 16xlarge,g4ad.16xlarge,256.0,64,2400 GB (2 * 1200 GB NVMe SSD),25 Gigabit,3.468,2.1848,1.3808
High Memory Cluster Eight Extra Large,cr1.8xlarge,244.0,32,EBS only,10 Gigabit,3.5,0.0,0.0
R5N 12xlarge,r5n.12xlarge,384.0,48,EBS only,50 Gigabit,3.576,2.253,1.6031
R5B 12xlarge,r5b.12xlarge,384.0,48,EBS only,12 Gigabit,3.576,2.2529,1.9259
M5 General Purpose 16xlarge,m5d.16xlarge,256.0,64,2400 GB (4 * 600 GB NVMe SSD),20 Gigabit,3.616,2.278,1.524
R5A 16xlarge,r5a.16xlarge,512.0,64,EBS only,12 Gigabit,3.616,2.278,1.6089
R6A 16xlarge,r6a.16xlarge,512.0,64,EBS only,25 Gigabit,3.6288,2.4005,1.4795
R6ID 12xlarge,r6id.12xlarge,384.0,48,2850 GB (2 * 1425 GB NVMe SSD),18.75 Gigabit,3.6288,2.2806,1.4693
C6IN 16xlarge,c6in.16xlarge,128.0,64,EBS only,100 Gigabit,3.6288,2.2861,1.6578
R7A 12xlarge,r7a.12xlarge,384.0,48,EBS only,18.75 Gigabit,3.6516,2.4155,1.3906
C6A 24xlarge,c6a.24xlarge,192.0,96,EBS only,37.5 Gigabit,3.672,2.429,1.531
R6GD 16xlarge,r6gd.16xlarge,512.0,64,3800 GB (2 * 1900 GB NVMe SSD),25 Gigabit,3.6864,2.3224,1.3671
R6GD Metal,r6gd.metal,512.0,64,3800 GB (2 * 1900 GB NVMe SSD),25 Gigabit,3.6864,2.3224,1.3994
C5A 24xlarge,c5a.24xlarge,192.0,96,EBS only,20 Gigabit,3.696,2.328,1.6473
M7A 16xlarge,m7a.16xlarge,256.0,64,EBS only,25 Gigabit,3.7094,2.4538,1.3621
H1 16xlarge,h1.16xlarge,256.0,64,16000 GB (8 * 2000 GB HDD),25 Gigabit,3.744,2.545,1.5729
M6ID 16xlarge,m6id.16xlarge,256.0,64,3800 GB (2 * 1900 GB NVMe SSD),25 Gigabit,3.7968,2.392,1.5443
M5N 16xlarge,m5n.16xlarge,256.0,64,EBS only,75 Gigabit,3.808,2.399,1.819
M6IDN 12xlarge,m6idn.12xlarge,192.0,48,2850 GB (2 * 1425 GB NVMe SSD),75 Gigabit,3.8189,2.4059,1.42
C5N 18xlarge,c5n.18xlarge,192.0,72,EBS only,100 Gigabit,3.888,2.449,1.6447
C5N Metal,c5n.metal,192.0,72,EBS only,100 Gigabit,3.888,2.449,1.6879
G4DN 12xlarge,g4dn.12xlarge,192.0,48,900 GB NVMe SSD,50 Gigabit,3.912,2.465,1.6919
M5ZN Metal,m5zn.metal,192.0,48,EBS only,100 Gigabit,3.9641,2.4974,1.7924
M5ZN 12xlarge,m5zn.12xlarge,192.0,48,EBS only,100 Gigabit,3.9641,2.4974,1.6972
C7GN 16xlarge,c7gn.16xlarge,128.0,64,EBS only,200 Gigabit,3.9936,2.516,1.6247
D3 Eight Extra Large,d3.8xlarge,256.0,32,47520 GB (24 * 1980 GB NVMe HDD),25 Gigabit,3.9955,2.5172,1.4098
X2GD 12xlarge,x2gd.12xlarge,768.0,48,2850 GB (2 * 1425 GB NVMe SSD),20 Gigabit,4.008,2.4699,1.7157
R5DN 12xlarge,r5dn.12xlarge,384.0,48,1800 GB (2 * 900 GB NVMe SSD),50 Gigabit,4.008,2.525,2.1826
R6I 16xlarge,r6i.16xlarge,512.0,64,EBS only,25 Gigabit,4.032,2.6672,1.4915
R5 16xlarge,r5.16xlarge,512.0,64,EBS only,20 Gigabit,4.032,2.54,1.6975
C5 High-CPU Metal,c5.metal,192.0,96,EBS only,25 Gigabit,4.08,2.57,1.6605
C5 High-CPU 24xlarge,c5.24xlarge,192.0,96,EBS only,25 Gigabit,4.08,2.57,1.5598
C6I 24xlarge,c6i.24xlarge,192.0,96,EBS only,37.5 Gigabit,4.08,2.6989,1.6213
G5 Graphics and Machine Learning GPU 16xlarge,g5.16xlarge,256.0,64,1900 GB NVMe SSD,25 Gigabit,4.096,2.5805,1.5178
I4I 12xlarge,i4i.12xlarge,384.0,48,11250 GB (3 * 3750 GB NVMe SSD),28.12 Gigabit,4.118,2.672,1.842
C5AD 24xlarge,c5ad.24xlarge,192.0,96,3800 GB (2 * 1900 GB NVMe SSD),20 Gigabit,4.128,2.601,1.5853
M5A 24xlarge,m5a.24xlarge,384.0,96,EBS only,20 Gigabit,4.128,2.601,1.7571
M6A 24xlarge,m6a.24xlarge,384.0,96,EBS only,37.5 Gigabit,4.1472,2.7434,1.7236
R6IN 12xlarge,r6in.12xlarge,384.0,48,EBS only,75 Gigabit,4.1839,2.6359,1.9509
R5AD 16xlarge,r5ad.16xlarge,512.0,64,2400 GB (4 * 600 GB NVMe SSD),12 Gigabit,4.192,2.641,1.7132
D3EN Eight Extra Large,d3en.8xlarge,128.0,32,223680 GB (16 * 13980 GB NVMe HDD),50 Gigabit,4.2058,2.6496,1.6649
R7I 16xlarge,r7i.16xlarge,512.0,64,EBS only,25 Gigabit,4.2336,2.8005,1.1756
R4 High-Memory 16xlarge,r4.16xlarge,488.0,64,EBS only,25 Gigabit,4.256,2.688,1.6008
C7I Metal-24xl,c7i.metal-24xl,192.0,96,EBS only,37.5 Gigabit,4.284,2.8339,1.0307
C7I 24xlarge,c7i.24xlarge,192.0,96,EBS only,37.5 Gigabit,4.284,2.8339,1.6233
M5DN 16xlarge,m5dn.16xlarge,256.0,64,2400 GB (4 * 600 GB NVMe SSD),75 Gigabit,4.352,2.742,1.7326
G4DN 16xlarge,g4dn.16xlarge,256.0,64,900 GB NVMe SSD,50 Gigabit,4.352,2.742,1.553
R7GD 16xlarge,r7gd.16xlarge,512.0,64,3800 GB (2 * 1900 GB NVMe SSD),30 Gigabit,4.3546,2.7367,1.6861
M6IN 16xlarge,m6in.16xlarge,256.0,64,EBS only,100 Gigabit,4.4554,2.8069,1.7347
R7IZ 12xlarge,r7iz.12xlarge,384.0,48,EBS only,25 Gigabit,4.464,2.8123,1.7767
Z1D Metal,z1d.metal,384.0,48,1800 GB (2 * 900 GB NVMe SSD),25 Gigabit,4.464,2.812,1.6593
Z1D 12xlarge,z1d.12xlarge,384.0,48,1800 GB (2 * 900 GB NVMe SSD),25 Gigabit,4.464,2.812,1.6883
G3 Graphics GPU 16xlarge,g3.16xlarge,488.0,64,EBS only,25 Gigabit,4.56,3.1122,1.7072
M5 General Purpose 24xlarge,m5.24xlarge,384.0,96,EBS only,25 Gigabit,4.608,2.903,1.8348
M6I 24xlarge,m6i.24xlarge,384.0,96,EBS only,37.5 Gigabit,4.608,3.0482,1.8884
C5 High-CPU 24xlarge,c5d.24xlarge,192.0,96,3600 GB (4 * 900 GB NVMe SSD),25 Gigabit,4.608,2.903,1.9206
M5 General Purpose Metal,m5.metal,384.0,96,EBS only,25 Gigabit,4.608,2.903,1.7518
C5 High-CPU Metal,c5d.metal,192.0,96,3600 GB (4 * 900 GB NVMe SSD),25 Gigabit,4.608,2.903,1.7918
R5D 16xlarge,r5d.16xlarge,512.0,64,2400 GB (4 * 600 GB NVMe SSD),20 Gigabit,4.608,2.903,1.7566
IS4GEN Eight Extra Large,is4gen.8xlarge,192.0,32,30000 GB (4 * 7500 GB NVMe SSD),50 Gigabit,4.6104,3.1445,1.7661
R6IDN 12xlarge,r6idn.12xlarge,384.0,48,2850 GB (2 * 1425 GB NVMe SSD),75 Gigabit,4.6894,2.9543,1.9813
INF1 24xlarge,inf1.24xlarge,192.0,96,EBS only,100 Gigabit,4.721,2.974,1.8761
R5B 16xlarge,r5b.16xlarge,512.0,64,EBS only,20 Gigabit,4.768,3.0038,2.1965
R5N 16xlarge,r5n.16xlarge,512.0,64,EBS only,75 Gigabit,4.768,3.004,1.9541
M7I Metal-24xl,m7i.metal-24xl,384.0,96,EBS only,37.5 Gigabit,4.8384,3.2006,1.8878
C6ID 24xlarge,c6id.24xlarge,192.0,96,5700 GB (4 * 1425 GB NVMe SSD),37.5 Gigabit,4.8384,3.0492,2.0634
M7I 24xlarge,m7i.24xlarge,384.0,96,EBS only,37.5 Gigabit,4.8384,3.2006,1.8121
R6ID 16xlarge,r6id.16xlarge,512.0,64,3800 GB (2 * 1900 GB NVMe SSD),25 Gigabit,4.8384,3.0408,1.905
R7A 16xlarge,r7a.16xlarge,512.0,64,EBS only,25 Gigabit,4.8688,3.2207,1.9678
C6A 32xlarge,c6a.32xlarge,256.0,128,EBS only,50 Gigabit,4.896,3.2387,2.1068
C7A 24xlarge,c7a.24xlarge,192.0,96,EBS only,37.5 Gigabit,4.9267,3.259,2.0021
I4G 16xlarge,i4g.16xlarge,512.0,64,15000 GB (4 * 3750 GB NVMe SSD),37.5 Gigabit,4.9421,3.2071,1.9285
M5AD 24xlarge,m5ad.24xlarge,384.0,96,3600 GB (4 * 900 GB NVMe SSD),20 Gigabit,4.944,3.115,1.994
I3 High I/O 16xlarge,i3.16xlarge,488.0,64,15200 GB (8 * 1900 GB NVMe SSD),25 Gigabit,4.992,3.427,1.8585
I3 High I/O Metal,i3.metal,512.0,72,15200 GB (8 * 1900 GB NVMe SSD),25 Gigabit,4.992,3.427,1.728
X2IEZN 6xlarge,x2iezn.6xlarge,768.0,24,EBS only,50 Gigabit,5.004,3.0807,1.952
M6IDN 16xlarge,m6idn.16xlarge,256.0,64,3800 GB (2 * 1900 GB NVMe SSD),100 Gigabit,5.0918,3.2079,1.9484
VT1 24xlarge,vt1.24xlarge,192.0,96,EBS only,25 Gigabit,5.2,3.276,2.0385
R5DN 16xlarge,r5dn.16xlarge,512.0,64,2400 GB (4 * 600 GB NVMe SSD),75 Gigabit,5.344,3.367,2.1306
X2GD Metal,x2gd.metal,1024.0,64,3800 GB (2 * 1900 GB NVMe SSD),25 Gigabit,5.344,3.2932,1.8862
X2GD 16xlarge,x2gd.16xlarge,1024.0,64,3800 GB (2 * 1900 GB NVMe SSD),25 Gigabit,5.344,3.2932,2.1679
M5 General Purpose 24xlarge,m5d.24xlarge,384.0,96,3600 GB (4 * 900 GB NVMe SSD),25 Gigabit,5.424,3.417,2.3641
I3EN 12xlarge,i3en.12xlarge,384.0,48,30000 GB (4 * 7500 GB NVMe SSD),50 Gigabit,5.424,3.694,2.0732
R5A 24xlarge,r5a.24xlarge,768.0,96,EBS only,20 Gigabit,5.424,3.417,1.8409
M5 General Purpose Metal,m5d.metal,384.0,96,3600 GB (4 * 900 GB NVMe SSD),25 Gigabit,5.424,3.417,2.1017
C6I 32xlarge,c6i.32xlarge,256.0,128,EBS only,50 Gigabit,5.44,3.5986,2.0458
C6I Metal,c6i.metal,256.0,128,EBS only,50 Gigabit,5.44,3.5986,2.329
C6IN 24xlarge,c6in.24xlarge,192.0,96,EBS only,150 Gigabit,5.4432,3.4292,2.1573
R6A 24xlarge,r6a.24xlarge,768.0,96,EBS only,37.5 Gigabit,5.4432,3.6007,2.2214
I4I 16xlarge,i4i.16xlarge,512.0,64,15000 GB (4 * 3750 GB NVMe SSD),37.5 Gigabit,5.491,3.563,1.9875
D2 Eight Extra Large,d2.8xlarge,244.0,36,49152 GB (24 * 2048 GB HDD),10 Gigabit,5.52,3.216,1.8977
M6A 32xlarge,m6a.32xlarge,512.0,128,EBS only,50 Gigabit,5.5296,3.6578,2.2113
M7A 24xlarge,m7a.24xlarge,384.0,96,EBS only,37.5 Gigabit,5.5642,3.6807,1.9866
R6IN 16xlarge,r6in.16xlarge,512.0,64,EBS only,100 Gigabit,5.5786,3.5145,2.5787
G5 Graphics and Machine Learning GPU 12xlarge,g5.12xlarge,192.0,48,3800 GB NVMe SSD,40 Gigabit,5.672,3.5734,2.197
M6ID 24xlarge,m6id.24xlarge,384.0,96,5700 GB (4 * 1425 GB NVMe SSD),37.5 Gigabit,5.6952,3.588,2.2677
M5N Metal,m5n.metal,384.0,96,EBS only,100 Gigabit,5.712,3.599,2.3163
M5N 24xlarge,m5n.24xlarge,384.0,96,EBS only,100 Gigabit,5.712,3.599,2.367
IM4GN 16xlarge,im4gn.16xlarge,256.0,64,30000 GB (4 * 7500 GB NVMe SSD),100 Gigabit,5.8207,3.733,2.1286
R7IZ 16xlarge,r7iz.16xlarge,512.0,64,EBS only,25 Gigabit,5.952,3.7498,2.2975
R7IZ Metal-16xl,r7iz.metal-16xl,512.0,64,EBS only,25 Gigabit,5.952,3.7498,1.6941
R5 Metal,r5.metal,768.0,96,EBS only,25 Gigabit,6.048,3.81,2.1938
R5 24xlarge,r5.24xlarge,768.0,96,EBS only,25 Gigabit,6.048,3.81,2.3289
R6I 24xlarge,r6i.24xlarge,768.0,96,EBS only,37.5 Gigabit,6.048,4.0008,2.509
M6I 32xlarge,m6i.32xlarge,512.0,128,EBS only,50 Gigabit,6.144,4.0643,2.5378
M6I Metal,m6i.metal,512.0,128,EBS only,50 Gigabit,6.144,4.0643,2.3566
R6IDN 16xlarge,r6idn.16xlarge,512.0,64,3800 GB (2 * 1900 GB NVMe SSD),100 Gigabit,6.2525,3.9391,2.4996
R5AD 24xlarge,r5ad.24xlarge,768.0,96,3600 GB (4 * 900 GB NVMe SSD),20 Gigabit,6.288,3.961,2.6505
D3EN 12xlarge,d3en.12xlarge,192.0,48,335520 GB (24 * 13980 GB NVMe HDD),75 Gigabit,6.3086,3.9744,2.5947
R7I Metal-24xl,r7i.metal-24xl,768.0,96,EBS only,37.5 Gigabit,6.3504,4.2008,1.7567
R7I 24xlarge,r7i.24xlarge,768.0,96,EBS only,37.5 Gigabit,6.3504,4.2008,1.6993
C6ID 32xlarge,c6id.32xlarge,256.0,128,7600 GB (4 * 1900 GB NVMe SSD),50 Gigabit,6.4512,4.0656,2.5935
C6ID Metal,c6id.metal,256.0,128,7600 GB (4 * 1900 GB NVMe SSD),50 Gigabit,6.4512,4.0656,2.45
INF2 24xlarge,inf2.24xlarge,384.0,96,EBS only,50 Gigabit,6.4906,4.0891,2.359
M5DN 24xlarge,m5dn.24xlarge,384.0,96,3600 GB (4 * 900 GB NVMe SSD),100 Gigabit,6.528,4.113,2.431
M5DN Metal,m5dn.metal,384.0,96,3600 GB (4 * 900 GB NVMe SSD),100 Gigabit,6.528,4.113,2.5461
C7A 32xlarge,c7a.32xlarge,256.0,128,EBS only,50 Gigabit,6.569,4.3454,2.4788
X1 Extra High-Memory 16xlarge,x1.16xlarge,976.0,64,1920 GB SSD,10 Gigabit,6.669,4.11,2.5237
X2IEDN Eight Extra Large,x2iedn.8xlarge,1024.0,32,950 GB NVMe SSD,25 Gigabit,6.669,4.1034,2.3882
X2IDN 16xlarge,x2idn.16xlarge,1024.0,64,1900 GB NVMe SSD,50 Gigabit,6.669,4.1034,2.55
X1E Eight Extra Large,x1e.8xlarge,976.0,32,960 GB SSD,Up to 10 Gigabit,6.672,4.112,2.3537
X2IEZN Eight Extra Large,x2iezn.8xlarge,1024.0,32,EBS only,75 Gigabit,6.672,4.1076,2.7063
M6IN 24xlarge,m6in.24xlarge,384.0,96,EBS only,150 Gigabit,6.683,4.2103,2.6274
I2 Eight Extra Large,i2.8xlarge,244.0,32,6400 GB (8 * 800 GB SSD),10 Gigabit,6.82,3.392,2.459
R5D 24xlarge,r5d.24xlarge,768.0,96,3600 GB (4 * 900 GB NVMe SSD),25 Gigabit,6.912,4.355,2.6914
R5D Metal,r5d.metal,768.0,96,3600 GB (4 * 900 GB NVMe SSD),25 Gigabit,6.912,4.355,2.7198
R5N 24xlarge,r5n.24xlarge,768.0,96,EBS only,100 Gigabit,7.152,4.506,2.8498
R5B 24xlarge,r5b.24xlarge,768.0,96,EBS only,25 Gigabit,7.152,4.5058,3.8097
R5N Metal,r5n.metal,768.0,96,EBS only,100 Gigabit,7.152,4.506,2.9657
R5B Metal,r5b.metal,768.0,96,EBS only,25 Gigabit,7.152,4.5058,3.5798
P2 General Purpose GPU Eight Extra Large,p2.8xlarge,488.0,32,EBS only,10 Gigabit,7.2,4.914,2.5622
R6ID 24xlarge,r6id.24xlarge,768.0,96,5700 GB (4 * 1425 GB NVMe SSD),37.5 Gigabit,7.2576,4.5612,2.7633
C6IN 32xlarge,c6in.32xlarge,256.0,128,EBS only,200 Gigabit,7.2576,4.5723,2.9949
R6A 32xlarge,r6a.32xlarge,1024.0,128,EBS only,50 Gigabit,7.2576,4.8009,2.7348
C6IN Metal,c6in.metal,256.0,128,EBS only,200 Gigabit,7.2576,4.5723,2.9999
R7A 24xlarge,r7a.24xlarge,768.0,96,EBS only,37.5 Gigabit,7.3032,4.8311,2.8227
C6A 48xlarge,c6a.48xlarge,384.0,192,EBS only,50 Gigabit,7.344,4.8581,2.9021
C6A Metal,c6a.metal,384.0,192,EBS only,50 Gigabit,7.344,4.8581,3.0719
M7A 32xlarge,m7a.32xlarge,512.0,128,EBS only,50 Gigabit,7.4189,4.9076,2.929
